id,brid,brdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,montant,totaltva,lot
1253,7,2024-01-10,1222,8697926014420,Class Deo Kids Spray Cute 125 ML,0.0,1,3.4,4.162,4.046,4.95,19.0,15.0,0.0,0.0,
1254,7,2024-01-10,1221,8697926014413,Class Deo Kids Spray comic125ML,0.0,1,3.4,4.162,4.046,4.95,19.0,15.0,0.0,0.0,
1255,7,2024-01-10,67,8697926020254,CLASS DEO FEMME INNOCENCE 150ML,0.0,1,2.28,2.798,2.713,3.33,19.0,40.0,0.0,0.0,
1256,7,2024-01-10,68,8697926020247,CLASS DEO FEMME ADDICT 150ML,0.0,1,3.23,4.373,3.844,5.2,19.0,15.0,0.0,0.0,
1257,7,2024-01-10,63,8697926024177,CLASS DEO  HOMME AUSTERE 150ML,0.0,1,3.23,4.199,3.844,5.0,19.0,15.0,0.0,0.0,
1258,7,2024-01-10,65,8697926024153,CLASS DEO HOMME BY GRAY 150ML,0.0,1,3.23,4.373,3.844,5.2,19.0,15.0,0.0,0.0,
1259,7,2024-01-10,64,8697926020322,CLASS DEO  HOMME CHOCO 150ML,0.0,1,3.23,4.373,3.844,5.2,19.0,15.0,0.0,0.0,
1260,7,2024-01-10,359,6192005211254,BILLE LELLA DESIRE 50ML,0.0,1,2.21,2.902,2.63,3.45,19.0,15.0,0.0,0.0,
1261,7,2024-01-10,357,6192005212763,BILLE LELLA TAJ MOON 50ML,0.0,1,2.08,2.8,2.475,3.33,19.0,20.0,0.0,0.0,
1262,7,2024-01-10,358,6192005212756,BILLE LELLA SENSUALITY 50ML,0.0,1,2.21,3.028,2.63,3.6,19.0,15.0,0.0,0.0,
1263,7,2024-01-10,356,6192005211247,BILLE LELLA MISS 50ML,0.0,1,2.21,3.028,2.63,3.6,19.0,15.0,0.0,0.0,
1264,4,2024-01-06,30,3600542358941,U.D MASQUE AVOCAT 320ML,6.0,1,12.194,14.622,14.511,17.4,19.0,9.0,87.065,13.901,
1265,4,2024-01-06,32,3600542509725,U.D MASQUE OLIVE 340ML,6.0,1,12.376,14.833,14.727,17.65,19.0,9.0,88.365,14.109,
1266,4,2024-01-06,10,3610340652356,U.D SHP CHARBON NOIR ET HUILE DE NIGELLE 400ML,2.0,1,10.875,12.267,12.941,14.6,19.0,9.0,25.883,4.133,
1267,4,2024-01-06,12,3610340027178,U.D SHP OLIVE MYTHIQUE 400ML,1.0,1,10.875,12.267,12.941,14.6,19.0,9.0,12.941,2.066,
1268,4,2024-01-06,11,3610340078941,U.D SHP  RICIN ET D'AMANDE 400ML,2.0,1,10.875,12.267,12.941,14.6,19.0,9.0,25.883,4.133,
1269,4,2024-01-06,9,3610340652769,U.D SHP CAMOMILLE / MIEL DE FLEUR 400ML,2.0,1,10.875,12.267,12.941,14.6,19.0,9.0,25.883,4.133,
