id,benum,datebe,idsupplier,supplier,total,reference,auteur,numfacture,supplieraddress,suppliermatfiscal,userid,paymentstatus,paymentid,brofbe,beofbr,supfacture,factureid
218,0,2024-05-28,11,peaudeauce,1907.815,Facture-Peaudouce N° 20,taher,0,,,1,0,0,0,0,0,0
219,0,2024-05-29,4,lilas,1720.886,BLI-0402220864,taher,0,,,1,0,0,0,0,0,0
220,0,2024-05-30,4,lilas,1261.588,BLN 0410412476,taher,0,,,1,0,0,0,0,0,0
221,0,2024-05-31,3,Négoce distribution (Judy),1172.588,Fac : 9030703654,taher,0,,,1,0,0,0,0,0,0
222,0,2024-05-31,1,SDC,1907.441,Bli-202405-237,taher,0,,,1,0,0,0,0,0,0
223,0,2024-06-01,1,SDC,456.918,FAC-202406-2306169,taher,0,,,1,0,0,0,0,0,0
224,0,2024-06-01,1,SDC,606.643,BLI-202406-2,taher,0,,,1,0,0,0,0,0,0
225,0,2024-06-03,1,SDC,1055.122,BLI-202406-16,taher,0,,,1,0,0,0,0,0,0
226,0,2024-06-04,1,SDC,732.54,BLI-202406-17,taher,0,,,1,0,0,0,0,0,0
227,0,2024-06-06,11,peaudeauce,2463.707218,Peaudouce-Facturee N°20,Mohamed Ali,0,,,1,0,0,0,0,0,0
228,0,2024-06-06,1,SDC,483.073,FAC-202406-23006172,taher,0,,,1,0,0,0,0,0,0
229,0,2024-06-07,3,Négoce distribution (Judy),889.566,Fac-9030709287,taher,0,,,1,0,0,0,0,0,0
230,0,2024-06-07,1,SDC,2642.741,FAC-202406-23006174,taher,0,,,1,0,0,0,0,0,0
232,0,2024-06-11,6,Canal Food ( sunsilk),1067.159,BLN° 944022,taher,0,,,1,0,0,0,0,0,0
233,0,2024-06-11,8,ESSOURI DISTRIBUTION,1698.767,BL-024045,taher,0,,,1,0,0,0,0,0,0
234,0,2024-06-11,1,SDC,288.686,FAC-202406-12005176,taher,0,,,1,0,0,0,0,0,0
236,0,2024-06-12,14,Aseptika,826.837,Facture N° F24/610,taher,0,,,1,0,0,0,0,0,0
237,0,2024-06-12,4,lilas,1470.949,BLN° 0410412686,taher,0,,,1,0,0,0,0,0,0
238,0,2024-06-12,4,lilas,547.41,BLN° 0410412687,taher,0,,,1,0,0,0,0,0,0
239,0,2024-06-13,1,SDC,723.411,BLI-202406-76,taher,0,,,1,0,0,0,0,0,0
240,0,2024-06-13,4,lilas,2011.707,BLN° 0402221158,taher,0,,,1,0,0,0,0,0,0
241,0,2024-06-13,4,lilas,886.805,Lilas Essuie-tout Animation,taher,0,,,1,0,0,0,0,0,0
242,0,2024-06-13,8,ESSOURI DISTRIBUTION,3024.495,FC-2428851,taher,0,,,1,0,0,0,0,0,0
243,0,2024-06-14,1,SDC,323.87,BLI-202406-82,taher,0,,,1,0,0,0,0,0,0
244,0,2024-06-14,1,SDC,244.609,FAC-202406-23006180,taher,0,,,1,0,0,0,0,0,0
245,0,2024-06-14,6,Canal Food ( sunsilk),1430.056,dédorant dove ,taher,0,,,1,0,0,0,0,0,0
246,0,2024-06-14,4,lilas,255.641,Bli-0402221186,taher,0,,,1,0,0,0,0,0,0
247,0,2024-06-14,4,lilas,146.87,Lilas-Essuie-tout,taher,0,,,1,0,0,0,0,0,0
248,0,2024-06-15,1,SDC,426.377,FAC-202406-23006182,taher,0,,,1,0,0,0,0,0,0
249,0,2024-06-15,1,SDC,84.566,Sensive ,taher,0,,,1,0,0,0,0,0,0
250,0,2024-06-18,3,Négoce distribution (Judy),1834.061,FAC-9030716544,taher,0,,,1,0,0,0,0,0,0
251,0,2024-06-18,1,SDC,2783.861,BLI 20240691 FOIRE,taher,0,,,1,0,0,0,0,0,0
252,0,2024-06-20,1,SDC,310.231,FAC-202406-23006186,taher,0,,,1,0,0,0,0,0,0
253,0,2024-06-21,14,Aseptika,243.388,Facture N° F24/661,taher,0,,,1,0,0,0,0,0,0
254,0,2024-06-22,1,SDC,7194.755,FAC-202406-230066188,taher,0,,,1,0,0,0,0,0,0
255,0,2024-06-24,1,SDC,348.689,FAC-202406-23006190,taher,0,,,1,0,0,0,0,0,0
