Barcode,EAN,Category,ItemName,BuyPrice,SellPrice,ShortcutForeColor,ShortcutBackColor,Status,Shortcut,ItemStock,ItemBrand,delay,unit,StockFaible,ShortCutOrder,startingprice,discount,fodec,tva,marge,buypriceht,sellpriceht,defaultsupplier
1008,6192011812155,0,Lilas Protege Slip Sensation Coton,2.911,3.3,-1,-14774017,1,0,54.0,43,0,1,12.0,0,2.911,0.0,0.0,0.0,13.35,2.911,3.3,41008.0
1009,6192011803771,37,Protege Slip Sensation Fraicheur,2.882,3.5,-1,-14774017,1,0,0.0,43,0,1,2.0,0,2.422,0.0,0.0,19.0,21.5,2.422,2.943,0.0
1010,6192011811530,0,Lilas lingette clean Lot de 3,5.7,6.9,-1,-14774017,1,0,12.0,43,0,1,2.0,0,5.7,0.0,0.0,0.0,21.05,5.7,6.9,51010.0
1011,6192011813831,30,Lilas lingette fantaisie Lot de 3,6.783,7.4,-1,-14774017,1,0,0.0,43,0,1,2.0,0,5.7,0.0,0.0,19.0,9.1,5.7,6.219,0.0
1012,6192011813855,30,Lilas lingette Bébé Lot de 3,6.783,8.2,-1,-14774017,1,0,0.0,43,0,1,2.0,0,5.7,0.0,0.0,19.0,20.9,5.7,6.891,0.0
1013,6192011813374,30,Lilas essuie-tout maxi XL,4.896,5.904,-1,-14774017,1,0,0.0,43,0,1,2.0,0,4.114,0.0,0.0,19.0,20.6,4.114,4.961,
1014,6192011813527,30,Lilas essuie-tout maxi XXL,7.499,9.0,-1,-14774017,1,0,0.0,43,0,1,2.0,0,6.302,0.0,0.0,19.0,20.0,6.302,7.562,0.0
1015,6192011810090,0,Lilas PH jaune fleuri,2.445,2.9,-1,-14774017,1,0,56.0,43,0,1,2.0,0,2.055,0.0,0.0,19.0,18.6,2.055,2.437,41015.0
1016,6192011813886,30,Lilas PH narcisse,1.773,3.0,-1,-14774017,1,0,2.0,43,0,1,2.0,0,1.49,0.0,0.0,19.0,69.2,1.49,2.521,41016.0
1017,6192011810212,30,Lilas essuie-tout Citron New Design,3.48,3.5,-1,-14774017,1,0,0.0,43,0,1,2.0,0,3.015,3.0,0.0,19.0,0.6,2.925,2.943,0.0
