id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
1990,9005800286754,NIVEA LAIT DE CORPS ALOE&HYDRATION 250 ML,2024-05-13,1.0,17.196,22.35,17.196,22.4,Admin,92
1991,5285001952274,Elegance Shampoing Miracle 500ML,2024-05-13,9.0,6.5,8.45,6.5,8.5,Admin,808
1992,5285001952281,Elegance A/SHP Miracle 500ML,2024-05-13,5.0,6.5,8.45,6.5,8.5,Admin,809
1993,5283022043407,No Limit Deo Femme Bella,2024-05-13,11.0,5.5,7.15,5.5,7.1,Admin,787
1994,6281031248720,Shp Syoss Oleo Care 500 ml,2024-05-13,5.0,7.259,8.95,7.259,8.9,Admin,1562
1995,6281031267158,Shp Syoss Pure Smooth 500 ml,2024-05-13,6.0,7.259,8.95,7.259,8.9,Admin,1563
1996,6281031248706,A/SHP syoss Oleo Care  500 ml,2024-05-13,1.0,7.259,8.95,7.259,8.9,Admin,1568
1997,6281031267189,A/SHP Syoss Pure Smooth 500 ml,2024-05-13,5.0,7.259,8.95,7.259,8.9,Admin,1564
1998,6192430012440,A/SHP Syoss Ceramide 500 ml,2024-05-13,3.0,7.259,8.95,7.259,8.9,Admin,1566
1999,4015000944038,Shp Syoss repair 500ml,2024-05-13,7.0,7.259,8.95,7.259,8.9,Admin,1560
2000,6192430012433,Shp Syoss Ceramide  500 ml,2024-05-13,4.0,7.259,8.95,7.259,8.9,Admin,1561
2001,3054080011569,STUDIO LINE GEL 6 150ML,2024-05-13,6.0,13.423,17.45,13.423,17.5,Admin,232
2002,6192440001922,JET 7 SHP KÉRATINE 55ML,2024-05-13,10.0,0.933,1.25,0.933,1.2,Admin,54
2003,3600550362404,NARTA BILLE FEMME IMPECCABLE,2024-05-13,4.0,10.496,13.65,10.496,13.5,Admin,475
2004,6192440000710,JET 7 VASELINE 50ML,2024-05-13,5.0,1.096,1.45,1.096,1.5,Admin,55
2005,3600550964677,NARTA BILLE FEMME PROT 5,2024-05-13,3.0,10.496,13.65,10.496,13.5,Admin,477
2006,5283022043650,No Limit Deo Homme Cool,2024-05-13,10.0,5.5,7.15,5.5,7.1,Admin,783
2007,5285001951833,Elegance Plus Shaving Gel Earth 500ML,2024-05-13,11.0,6.503,8.45,6.503,8.5,Admin,925
2008,6192445400072,Razar Creme a raser,2024-05-13,7.0,1.752,2.19,1.752,2.2,Admin,1628
2009,3600551027708,NARTA BILLE FEMME  INVISIBLE 0 %,2024-05-13,4.0,10.496,13.65,10.496,13.5,Admin,473
2010,3600550964738,NARTA BILLE FEMME iNVISIBLE,2024-05-13,1.0,10.496,13.65,10.496,13.5,Admin,474
2011,3600551027906,NARTA BILLE HOMME INVISMAX 0%,2024-05-13,6.0,10.612,13.8,10.612,13.5,Admin,293
2012,3600550261523,NARTA BILLE HOMME PROT 5,2024-05-13,3.0,10.496,13.65,10.496,13.5,Admin,472
